"Date","Price","Open","High","Low","Vol.","Change %"
"03/10/2021","3.98","4.00","4.04","3.79","1.34M","-0.46%"
"03/09/2021","4.00","3.86","4.12","3.84","2.02M","3.85%"
"03/08/2021","3.85","3.95","3.95","3.79","561.05K","-1.65%"
"03/07/2021","3.91","3.79","4.02","3.76","908.98K","3.68%"
"03/04/2021","3.77","3.72","3.92","3.61","524.28K","-1.92%"
"03/03/2021","3.85","3.95","4.06","3.66","1.05M","-5.45%"
"03/02/2021","4.07","4.07","4.19","3.95","1.43M","1.38%"
"03/01/2021","4.01","4.06","4.09","3.98","294.68K","-0.69%"
"02/28/2021","4.04","4.09","4.13","3.98","625.16K","-1.58%"
"02/25/2021","4.11","4.20","4.20","4.07","624.59K","-0.89%"
"02/24/2021","4.14","4.07","4.23","4.01","1.22M","0.90%"
"02/23/2021","4.11","4.13","4.17","4.04","1.39M","-0.22%"
"02/22/2021","4.12","4.17","4.24","4.06","1.56M","-3.05%"
"02/21/2021","4.25","4.24","4.34","4.16","2.35M","2.00%"
"02/18/2021","4.16","4.32","4.32","4.08","1.87M","-4.86%"
"02/17/2021","4.38","4.50","4.55","4.18","3.24M","2.60%"
"02/16/2021","4.26","4.01","4.36","4.01","6.50M","7.46%"
"02/15/2021","3.97","3.98","4.09","3.89","1.96M","-1.61%"
"02/14/2021","4.03","4.09","4.11","3.91","1.02M","-1.13%"
"02/11/2021","4.08","4.12","4.16","4.05","763.01K","-1.12%"
"02/10/2021","4.13","4.14","4.20","4.06","791.24K","0.68%"
"02/09/2021","4.10","4.03","4.14","4.03","713.64K","-1.34%"
"02/08/2021","4.15","4.35","4.35","3.99","1.63M","-4.06%"
"02/07/2021","4.33","4.34","4.47","4.23","3.37M","3.31%"
"02/04/2021","4.19","4.03","4.30","4.03","5.13M","4.14%"
"02/03/2021","4.02","4.05","4.09","3.98","710.64K","-0.46%"
"02/02/2021","4.04","4.05","4.12","4.01","1.07M","-0.46%"
"02/01/2021","4.06","4.07","4.13","4.02","1.92M","0.46%"
"01/31/2021","4.04","4.05","4.15","3.98","2.14M","-1.80%"
"01/27/2021","4.12","4.02","4.23","4.02","1.96M","1.60%"
"01/26/2021","4.05","4.11","4.12","4.00","1.34M","-1.79%"
"01/25/2021","4.13","4.16","4.20","4.02","1.19M","-2.41%"
"01/24/2021","4.23","4.25","4.36","4.13","2.65M","0.88%"
"01/21/2021","4.19","4.03","4.42","3.98","5.44M","2.95%"
"01/20/2021","4.07","4.11","4.21","3.88","3.32M","3.29%"
"01/19/2021","3.94","3.64","4.00","3.64","8.07M","8.40%"
"01/18/2021","3.64","3.53","3.72","3.53","3.61M","3.42%"
"01/17/2021","3.51","3.51","3.58","3.46","1.45M","1.88%"
"01/14/2021","3.45","3.49","3.51","3.42","1.15M","0.00%"
"01/13/2021","3.45","3.38","3.51","3.37","816.21K","0.81%"
"01/12/2021","3.42","3.43","3.47","3.39","619.67K","-0.54%"
"01/11/2021","3.44","3.46","3.51","3.39","502.95K","-0.53%"
"01/10/2021","3.46","3.48","3.54","3.42","423.58K","0.00%"
"01/06/2021","3.46","3.48","3.52","3.42","321.91K","-0.53%"
"01/05/2021","3.48","3.35","3.57","3.31","1.14M","3.87%"
"01/04/2021","3.35","3.42","3.42","3.26","391.25K","-1.90%"
"01/03/2021","3.41","3.43","3.48","3.34","494.66K","0.82%"
"12/31/2020","3.39","3.23","3.50","3.23","2.21M","6.09%"
"12/30/2020","3.19","3.27","3.27","3.16","541.45K","-0.58%"
"12/29/2020","3.21","3.24","3.27","3.14","462.48K","-0.29%"
"12/28/2020","3.22","3.12","3.28","3.09","802.58K","3.88%"
"12/27/2020","3.10","3.22","3.22","2.99","470.19K","-2.05%"
"12/24/2020","3.16","3.24","3.24","3.12","349.23K","-0.87%"
"12/23/2020","3.19","3.22","3.24","3.15","255.50K","2.68%"
"12/22/2020","3.11","2.96","3.18","2.96","342.97K","-1.18%"
"12/21/2020","3.14","3.39","3.39","3.13","2.51M","-9.33%"
"12/20/2020","3.47","3.39","3.56","3.39","851.73K","1.90%"
"12/17/2020","3.40","3.47","3.51","3.28","1.93M","-3.92%"
"12/16/2020","3.54","3.55","3.64","3.44","1.60M","0.52%"
"12/15/2020","3.52","3.51","3.58","3.47","1.11M","-1.30%"
"12/14/2020","3.57","3.58","3.65","3.51","1.07M","-1.03%"
"12/13/2020","3.61","3.68","3.72","3.56","1.46M","-2.26%"
"12/10/2020","3.69","3.75","3.81","3.56","2.06M","-0.99%"
"12/09/2020","3.73","3.51","3.81","3.51","6.54M","7.47%"
"12/08/2020","3.47","3.50","3.55","3.41","1.39M","-0.53%"
"12/07/2020","3.49","3.64","3.64","3.42","1.41M","-1.82%"
"12/06/2020","3.55","3.48","3.66","3.38","4.76M","8.17%"
"12/03/2020","3.28","3.14","3.36","3.14","2.18M","2.31%"
"12/02/2020","3.21","3.14","3.28","3.13","1.29M","2.06%"
"12/01/2020","3.14","3.18","3.21","3.08","379.49K","-0.58%"
"11/30/2020","3.16","3.22","3.22","3.14","398.71K","-1.72%"
"11/29/2020","3.22","3.14","3.27","3.13","393.60K","2.35%"
"11/26/2020","3.14","3.16","3.21","3.11","267.40K","-3.13%"
"11/25/2020","3.25","3.35","3.35","3.18","840.92K","-1.13%"
"11/24/2020","3.28","3.30","3.35","3.20","1.07M","0.85%"
"11/23/2020","3.26","3.28","3.30","3.21","680.11K","1.73%"
"11/22/2020","3.20","3.18","3.29","3.14","753.34K","-2.26%"
"11/19/2020","3.27","3.33","3.40","3.17","1.30M","0.00%"
"11/18/2020","3.27","3.15","3.41","3.09","2.93M","5.36%"
"11/17/2020","3.11","3.08","3.16","3.07","1.00M","1.20%"
"11/16/2020","3.07","3.05","3.10","3.03","286.08K","0.61%"
"11/15/2020","3.05","3.11","3.11","3.03","131.45K","-0.60%"
"11/12/2020","3.07","3.05","3.14","3.04","618.55K","-1.48%"
"11/11/2020","3.12","3.10","3.16","3.05","584.33K","0.90%"
"11/10/2020","3.09","3.13","3.14","3.03","529.27K","0.91%"
